"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.68002,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.74987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.87238,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.98309,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.08825,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.24774,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.37247,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.45344,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.44143,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.36947,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.30092,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.33823,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.4431,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.50832,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.55152,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.62697,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.72919,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.77814,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.78904,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.76986,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.7662,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.7896,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.84624,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.95328,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.1407,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.3318,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.4364,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.4682,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.4587,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.3967,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.3537,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.2626,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.1882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.1659,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.284,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4373,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.4881,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.4116,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.2808,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2005,
