"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-01","Jan-2013","PC","Percentage","0","Units",,,3.3975,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-02","Feb-2013","PC","Percentage","0","Units",,,3.4975,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-03","Mar-2013","PC","Percentage","0","Units",,,3.5125,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-04","Apr-2013","PC","Percentage","0","Units",,,3.245,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-05","May-2013","PC","Percentage","0","Units",,,3.225,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-06","Jun-2013","PC","Percentage","0","Units",,,3.54,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-07","Jul-2013","PC","Percentage","0","Units",,,3.75,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-08","Aug-2013","PC","Percentage","0","Units",,,3.86,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-09","Sep-2013","PC","Percentage","0","Units",,,4,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-10","Oct-2013","PC","Percentage","0","Units",,,3.97,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-11","Nov-2013","PC","Percentage","0","Units",,,4.13,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2013-12","Dec-2013","PC","Percentage","0","Units",,,4.24,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-01","Jan-2014","PC","Percentage","0","Units",,,4.18,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-02","Feb-2014","PC","Percentage","0","Units",,,4.12,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-03","Mar-2014","PC","Percentage","0","Units",,,4.1,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-04","Apr-2014","PC","Percentage","0","Units",,,4.03,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-05","May-2014","PC","Percentage","0","Units",,,3.78,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-06","Jun-2014","PC","Percentage","0","Units",,,3.7,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-07","Jul-2014","PC","Percentage","0","Units",,,3.47,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2014-08","Aug-2014","PC","Percentage","0","Units",,,3.41,,
