"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2013-01",5.385983,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.427145,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.634051,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.583369,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.612959,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.695884,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.627674,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.820925,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.705264,
"AUS","HUR","TOT","PC_LF","M","2013-10",5.830088,
"AUS","HUR","TOT","PC_LF","M","2013-11",5.794487,
"AUS","HUR","TOT","PC_LF","M","2013-12",5.901989,
"AUS","HUR","TOT","PC_LF","M","2014-01",5.934264,
"AUS","HUR","TOT","PC_LF","M","2014-02",5.894045,
"AUS","HUR","TOT","PC_LF","M","2014-03",5.86692,
"AUS","HUR","TOT","PC_LF","M","2014-04",5.798404,
"AUS","HUR","TOT","PC_LF","M","2014-05",5.932527,
"AUS","HUR","TOT","PC_LF","M","2014-06",6.047793,
"AUS","HUR","TOT","PC_LF","M","2014-07",6.172706,
"AUS","HUR","TOT","PC_LF","M","2014-08",6.08313,
"AUS","HUR","TOT","PC_LF","M","2014-09",6.226437,
"AUS","HUR","TOT","PC_LF","M","2014-10",6.368775,
"AUS","HUR","TOT","PC_LF","M","2014-11",6.295811,
"AUS","HUR","TOT","PC_LF","M","2014-12",6.107251,
"AUS","HUR","TOT","PC_LF","M","2015-01",6.336866,
"AUS","HUR","TOT","PC_LF","M","2015-02",6.121502,
"AUS","HUR","TOT","PC_LF","M","2015-03",6.091031,
"AUS","HUR","TOT","PC_LF","M","2015-04",6.105867,
"AUS","HUR","TOT","PC_LF","M","2015-05",5.935802,
"AUS","HUR","TOT","PC_LF","M","2015-06",6.007257,
